Designator,Mid X,Mid Y,Layer,Rotation
REF**,82.950004,-67.551,T,0.0
REF**,83.700004,-67.551,T,0.0
REF**,84.450004,-67.551,T,0.0
REF**,85.200004,-67.551,T,0.0
REF**,85.200004,-58.849002,T,0.0
REF**,84.450004,-58.849002,T,0.0
REF**,83.700004,-58.849002,T,0.0
REF**,82.950004,-58.849003,T,0.0
REF**,82.200004,-58.849003,T,0.0
REF**,62.499999,-80.251008,T,0.0
REF**,63.249999,-80.251008,T,0.0
REF**,63.999999,-80.251008,T,0.0
REF**,64.749999,-80.251009,T,0.0
REF**,65.499999,-80.251009,T,0.0
REF**,65.499999,-71.549001,T,0.0
REF**,64.749999,-71.549002,T,0.0
REF**,63.999999,-71.549002,T,0.0
REF**,63.249999,-71.549003,T,0.0
REF**,62.499999,-71.549003,T,0.0
REF**,34.499999,-80.251,T,0.0
REF**,35.249999,-80.251,T,0.0
REF**,35.999999,-80.251001,T,0.0
REF**,36.749999,-80.251001,T,0.0
REF**,37.499999,-80.251001,T,0.0
REF**,37.499999,-71.549006,T,0.0
REF**,36.749999,-71.549006,T,0.0
REF**,35.999999,-71.549007,T,0.0
REF**,35.249999,-71.549007,T,0.0
REF**,34.499999,-71.549008,T,0.0
REF**,110.200004,-80.251008,T,0.0
REF**,110.950004,-80.251008,T,0.0
REF**,111.700004,-80.251008,T,0.0
REF**,112.450004,-80.251009,T,0.0
REF**,113.200004,-80.251009,T,0.0
REF**,113.200004,-71.549001,T,0.0
REF**,112.450004,-71.549002,T,0.0
REF**,111.700004,-71.549002,T,0.0
REF**,110.950004,-71.549003,T,0.0
REF**,110.200004,-71.549003,T,0.0
REF**,82.200004,-80.251,T,0.0
REF**,82.950004,-80.251,T,0.0
REF**,83.700004,-80.251001,T,0.0
REF**,84.450004,-80.251001,T,0.0
REF**,85.200004,-80.251001,T,0.0
REF**,85.200004,-71.549006,T,0.0
REF**,84.450004,-71.549006,T,0.0
REF**,83.700004,-71.549007,T,0.0
REF**,82.950004,-71.549007,T,0.0
REF**,82.200004,-71.549008,T,0.0
REF**,62.499999,-92.951013,T,0.0
REF**,63.249999,-92.951013,T,0.0
REF**,63.999999,-92.951014,T,0.0
REF**,64.749999,-92.951014,T,0.0
REF**,65.499999,-92.951014,T,0.0
REF**,65.499999,-84.249002,T,0.0
REF**,64.749999,-84.249003,T,0.0
REF**,63.999999,-84.249004,T,0.0
REF**,63.249999,-84.249005,T,0.0
REF**,62.499999,-84.249006,T,0.0
REF**,34.499999,-92.951001,T,0.0
REF**,35.249999,-92.951001,T,0.0
REF**,35.999999,-92.951001,T,0.0
REF**,36.749999,-92.951002,T,0.0
REF**,37.499999,-92.951002,T,0.0
REF**,37.499999,-84.249009,T,0.0
REF**,36.749999,-84.24901,T,0.0
REF**,35.999999,-84.249011,T,0.0
REF**,35.249999,-84.249012,T,0.0
REF**,34.499999,-84.249013,T,0.0
REF**,110.200004,-92.951013,T,0.0
REF**,110.950004,-92.951013,T,0.0
REF**,111.700004,-92.951014,T,0.0
REF**,112.450004,-92.951014,T,0.0
REF**,113.200004,-92.951014,T,0.0
REF**,113.200004,-84.249002,T,0.0
REF**,112.450004,-84.249003,T,0.0
REF**,111.700004,-84.249004,T,0.0
REF**,110.950004,-84.249005,T,0.0
REF**,110.200004,-84.249006,T,0.0
REF**,82.200004,-92.951001,T,0.0
REF**,82.950004,-92.951001,T,0.0
REF**,83.700004,-92.951001,T,0.0
REF**,84.450004,-92.951002,T,0.0
REF**,85.200004,-92.951002,T,0.0
REF**,85.200004,-84.249009,T,0.0
REF**,84.450004,-84.24901,T,0.0
REF**,83.700004,-84.249011,T,0.0
REF**,82.950004,-84.249012,T,0.0
REF**,82.200004,-84.249013,T,0.0
REF**,62.499999,-105.651018,T,0.0
REF**,63.249999,-105.651019,T,0.0
REF**,63.999999,-105.651019,T,0.0
REF**,64.749999,-105.65102,T,0.0
REF**,65.499999,-105.65102,T,0.0
REF**,65.499999,-96.949003,T,0.0
REF**,64.749999,-96.949005,T,0.0
REF**,63.999999,-96.949006,T,0.0
REF**,63.249999,-96.949007,T,0.0
REF**,62.499999,-96.949008,T,0.0
REF**,34.499999,-105.651001,T,0.0
REF**,35.249999,-105.651001,T,0.0
REF**,35.999999,-105.651002,T,0.0
REF**,36.749999,-105.651002,T,0.0
REF**,37.499999,-105.651003,T,0.0
REF**,37.499999,-96.949013,T,0.0
REF**,36.749999,-96.949014,T,0.0
REF**,35.999999,-96.949015,T,0.0
REF**,35.249999,-96.949017,T,0.0
REF**,34.499999,-96.949018,T,0.0
REF**,110.200004,-105.651018,T,0.0
REF**,110.950004,-105.651019,T,0.0
REF**,111.700004,-105.651019,T,0.0
REF**,112.450004,-105.65102,T,0.0
REF**,113.200004,-105.65102,T,0.0
REF**,113.200004,-96.949003,T,0.0
REF**,112.450004,-96.949004,T,0.0
REF**,111.700004,-96.949006,T,0.0
REF**,110.950004,-96.949007,T,0.0
REF**,110.200004,-96.949008,T,0.0
REF**,82.200004,-105.651001,T,0.0
REF**,82.950004,-105.651001,T,0.0
REF**,83.700004,-105.651002,T,0.0
REF**,84.450004,-105.651002,T,0.0
REF**,85.200004,-105.651003,T,0.0
REF**,85.200004,-96.949013,T,0.0
REF**,84.450004,-96.949014,T,0.0
REF**,83.700004,-96.949015,T,0.0
REF**,82.950004,-96.949016,T,0.0
REF**,82.200004,-96.949018,T,0.0
REF**,62.499999,-118.351023,T,0.0
REF**,63.249999,-118.351024,T,0.0
REF**,63.999999,-118.351024,T,0.0
REF**,64.749999,-118.351025,T,0.0
REF**,65.499999,-118.351026,T,0.0
REF**,65.499999,-109.649004,T,0.0
REF**,64.749999,-109.649006,T,0.0
REF**,63.999999,-109.649007,T,0.0
REF**,63.249999,-109.649009,T,0.0
REF**,62.499999,-109.64901,T,0.0
REF**,34.499999,-118.351001,T,0.0
REF**,35.249999,-118.351002,T,0.0
REF**,35.999999,-118.351003,T,0.0
REF**,36.749999,-118.351003,T,0.0
REF**,37.499999,-118.351004,T,0.0
REF**,37.499999,-109.649017,T,0.0
REF**,36.749999,-109.649018,T,0.0
REF**,35.999999,-109.64902,T,0.0
REF**,35.249999,-109.649021,T,0.0
REF**,34.499999,-109.649023,T,0.0
REF**,110.200004,-118.351023,T,0.0
REF**,110.950004,-118.351024,T,0.0
REF**,111.700004,-118.351024,T,0.0
REF**,112.450004,-118.351025,T,0.0
REF**,113.200004,-118.351026,T,0.0
REF**,113.200004,-109.649004,T,0.0
REF**,112.450004,-109.649006,T,0.0
REF**,111.700004,-109.649007,T,0.0
REF**,110.950004,-109.649009,T,0.0
REF**,110.200004,-109.64901,T,0.0
REF**,82.200004,-118.351001,T,0.0
REF**,82.950004,-118.351002,T,0.0
REF**,83.700004,-118.351003,T,0.0
REF**,84.450004,-118.351003,T,0.0
REF**,85.200004,-118.351004,T,0.0
REF**,85.200004,-109.649017,T,0.0
REF**,84.450004,-109.649018,T,0.0
REF**,83.700004,-109.64902,T,0.0
REF**,82.950004,-109.649021,T,0.0
REF**,82.200004,-109.649023,T,0.0
REF**,62.499999,-131.051028,T,0.0
REF**,63.249999,-131.051029,T,0.0
REF**,63.999999,-131.05103,T,0.0
REF**,64.749999,-131.05103,T,0.0
REF**,65.499999,-131.051031,T,0.0
REF**,65.499999,-122.349005,T,0.0
REF**,64.749999,-122.349007,T,0.0
REF**,63.999999,-122.349009,T,0.0
REF**,63.249999,-122.349011,T,0.0
REF**,62.499999,-122.349013,T,0.0
REF**,34.499999,-131.051002,T,0.0
REF**,35.249999,-131.051003,T,0.0
REF**,35.999999,-131.051003,T,0.0
REF**,36.749999,-131.051004,T,0.0
REF**,37.499999,-131.051005,T,0.0
REF**,37.499999,-122.34902,T,0.0
REF**,36.749999,-122.349022,T,0.0
REF**,35.999999,-122.349024,T,0.0
REF**,35.249999,-122.349026,T,0.0
REF**,34.499999,-122.349028,T,0.0
REF**,110.200004,-131.051028,T,0.0
REF**,110.950004,-131.051029,T,0.0
REF**,111.700004,-131.05103,T,0.0
REF**,112.450004,-131.05103,T,0.0
REF**,113.200004,-131.051031,T,0.0
